IB		Equity		Deposits		Withdrawls		Volume		OpenProfit		ClosedProfit		Commissions
71873		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
92953		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
128714		0.000000		0.000000		0.000000		33450.000000		0.000000		0.000000		0.000000
25146		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
110827		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
35979		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
19301		103.839996		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
38836		75.730003		0.000000		0.000000		12.000000		0.000000		0.000000		0.000000
84179		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
68806		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
104882		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
38212		23.660000		0.000000		0.000000		3.000000		0.000000		0.000000		0.000000
14901		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
90949		0.000000		0.000000		0.000000		6.000000		0.000000		0.000000		0.000000
125026		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
35223		1119.050049		0.000000		0.000000		145090.000000		-708.689941		-565.140015		0.000000
48224		962.479980		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
47962		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
39402		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
86044		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
69330		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
34619		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
22217		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
70		4296.270020		0.000000		0.000000		432931.000000		0.000000		0.000000		0.000000
38523		156.740005		0.000000		0.000000		432261.000000		-13296.740234		-26487.169922		0.000000
29125		6.190000		0.000000		0.000000		3.000000		0.000000		0.000000		0.000000
49753		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
25368		471.760010		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
20689		87144.867188		0.000000		0.000000		47809.000000		80.370026		2713.080078		0.000000
52987		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
76179		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
18499		3.640000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
24301		20.000000		0.000000		0.000000		1.000000		0.000000		0.000000		0.000000
44690		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
16633		2040.079956		0.000000		0.000000		47932.000000		18.959999		383.880005		0.000000
14895		4010.199951		0.000000		0.000000		34841.000000		0.000000		44.900002		0.000000
107443		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
36507		3.670000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
50372		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
13490		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
23639		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
83154		172.479996		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
21079		4.410000		0.000000		0.000000		190.000000		0.000000		0.000000		0.000000
39130		649.200012		0.000000		0.000000		913.000000		-4.870000		-177.270004		0.000000
40275		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
39781		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
61847		35.599998		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
29315		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
110821		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
52231		109.750000		0.000000		0.000000		3.000000		0.000000		0.000000		0.000000
83735		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
79042		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
108383		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
65659		0.000000		0.000000		0.000000		3515.000000		0.000000		0.000000		0.000000
91392		0.000000		0.000000		0.000000		3.000000		0.000000		0.000000		0.000000
53763		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
80603		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
109968		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
117473		0.000000		0.000000		0.000000		10.000000		-36.360001		0.000000		0.000000
109734		0.000000		0.000000		0.000000		3.000000		0.000000		0.000000		0.000000
27915		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
13755		134.710007		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
15258		10.810000		0.000000		0.000000		14.000000		0.000000		0.000000		0.000000
94657		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
15433		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
106007		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
92306		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
86678		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
44650		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
12440		120744.570312		0.000000		0.000000		916808.000000		-14345.250000		-24915.511719		0.000000
66570		0.000000		0.000000		0.000000		10861.000000		0.000000		0.000000		0.000000
122004		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
125091		0.000000		0.000000		0.000000		51239.000000		0.000000		0.000000		0.000000
17676		1.100000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
35701		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
55635		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
119508		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
15074		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
103669		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
13871		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
18203		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
33535		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
114158		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
14816		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
45925		297.250000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
112042		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
126435		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
41449		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
124286		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
75741		0.000000		0.000000		0.000000		2870.000000		56.830002		0.060000		0.000000
67762		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
111188		0.000000		0.000000		0.000000		777.000000		0.000000		0.000000		0.000000
21493		21549.919922		0.000000		0.000000		2420.000000		0.000000		-318.529999		0.000000
51585		253.500000		0.000000		0.000000		471.000000		0.000000		0.000000		0.000000
46621		34.049999		0.000000		0.000000		919.000000		0.000000		0.000000		0.000000
84279		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
93978		0.000000		0.000000		0.000000		92.000000		0.000000		0.000000		0.000000
36650		0.000000		0.000000		0.000000		2423.000000		0.000000		0.000000		0.000000
97081		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
50814		0.250000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
42310		0.430000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
13478		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
82437		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
49737		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
74706		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
21453		0.410000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
68812		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
47268		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
125226		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
103345		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
101796		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
118066		0.000000		0.000000		0.000000		2204.000000		0.000000		0.000000		0.000000
22336		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
82536		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
106256		0.000000		0.000000		0.000000		23351.000000		0.000000		0.000000		0.000000
70823		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
61861		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
23075		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
119827		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
39205		98.190002		0.000000		0.000000		16.000000		0.000000		0.000000		0.000000
19373		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
112086		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
67194		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
23366		1148.160034		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
38241		52.310001		0.000000		0.000000		10.000000		0.000000		0.000000		0.000000
20993		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
87378		0.000000		0.000000		0.000000		4.000000		0.000000		0.000000		0.000000
89088		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
99861		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
26495		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
40642		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
13473		145.470001		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
12494		0.250000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
52656		0.400000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
11123		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
46069		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
83769		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
77659		0.000000		0.000000		0.000000		8.000000		0.000000		0.000000		0.000000
51774		2.130000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
58896		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
101366		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
108948		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
73096		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
86615		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
79346		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
13803		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
